epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,4744.67,0.49683,0.47048,0.97249,0.91594,0.88192,0.9461,0.8462,0.57958,0.55324,1.05212,0.0087724,0.0087724,0.0087724
126,4780.89,0.49288,0.461,0.9725,0.91524,0.88943,0.94772,0.84798,0.57023,0.54008,1.04015,0.0087625,0.0087625,0.0087625
127,4818.94,0.49584,0.46495,0.9706,0.91882,0.88763,0.94779,0.85122,0.56112,0.53127,1.02382,0.0087526,0.0087526,0.0087526
128,4857.26,0.49355,0.4642,0.97291,0.91726,0.89286,0.95359,0.85177,0.55833,0.51584,1.02864,0.0087427,0.0087427,0.0087427
129,4895.46,0.4851,0.45849,0.967,0.91634,0.88223,0.94375,0.8469,0.57091,0.56155,1.05117,0.0087328,0.0087328,0.0087328
130,4933.18,0.4945,0.46787,0.9721,0.92432,0.88061,0.9496,0.85269,0.58526,0.53919,1.06891,0.0087229,0.0087229,0.0087229
131,4971.1,0.49286,0.45786,0.97258,0.91388,0.89395,0.95062,0.85475,0.58161,0.55284,1.0405,0.008713,0.008713,0.008713
132,5006.97,0.49632,0.46355,0.97301,0.9144,0.89183,0.95013,0.85466,0.57453,0.53206,1.03164,0.0087031,0.0087031,0.0087031
133,5046.16,0.48805,0.45261,0.96778,0.92717,0.8801,0.94846,0.85273,0.58116,0.53607,1.04082,0.0086932,0.0086932,0.0086932
134,5083.81,0.49275,0.46114,0.97095,0.9128,0.90372,0.95189,0.85554,0.56922,0.5228,1.03329,0.0086833,0.0086833,0.0086833
135,5120.47,0.48638,0.4532,0.96393,0.91469,0.89385,0.95048,0.85327,0.57514,0.52193,1.04266,0.0086734,0.0086734,0.0086734
136,5158.31,0.48394,0.45631,0.96449,0.91369,0.89872,0.95338,0.85713,0.56859,0.51676,1.05002,0.0086635,0.0086635,0.0086635
137,5196.94,0.48783,0.46104,0.96935,0.91,0.89563,0.95225,0.85812,0.5586,0.50365,1.03295,0.0086536,0.0086536,0.0086536
138,5231.96,0.49208,0.46422,0.96943,0.91599,0.88905,0.94806,0.8527,0.55809,0.52347,1.04044,0.0086437,0.0086437,0.0086437
139,5270.2,0.49491,0.4552,0.96849,0.9161,0.89957,0.95164,0.8575,0.57297,0.50427,1.04581,0.0086338,0.0086338,0.0086338
140,5308.32,0.49044,0.45605,0.97185,0.91793,0.89372,0.95012,0.85563,0.54655,0.52862,1.02576,0.0086239,0.0086239,0.0086239
141,5346.41,0.4912,0.45842,0.9679,0.92604,0.88211,0.95042,0.85389,0.55633,0.5303,1.01832,0.008614,0.008614,0.008614
142,5383.93,0.49367,0.45211,0.96765,0.91053,0.88843,0.94912,0.85383,0.55001,0.53849,1.01873,0.0086041,0.0086041,0.0086041
143,5421.63,0.48288,0.4557,0.96507,0.92202,0.88284,0.95003,0.85332,0.5582,0.54312,1.02418,0.0085942,0.0085942,0.0085942
144,5459.78,0.4902,0.4551,0.96497,0.90877,0.90208,0.9509,0.85761,0.54389,0.52983,1.00898,0.0085843,0.0085843,0.0085843
145,5497.17,0.48694,0.45826,0.96519,0.92778,0.87778,0.95178,0.85835,0.55719,0.55749,1.01702,0.0085744,0.0085744,0.0085744
146,5536.26,0.48719,0.45385,0.96749,0.9165,0.89184,0.94939,0.85345,0.56729,0.53094,1.03605,0.0085645,0.0085645,0.0085645
147,5574.61,0.49018,0.45335,0.96632,0.92479,0.88867,0.95131,0.85921,0.56315,0.52952,1.03534,0.0085546,0.0085546,0.0085546
148,5613.85,0.48699,0.4537,0.96616,0.90891,0.90276,0.95358,0.86001,0.55143,0.50757,1.02541,0.0085447,0.0085447,0.0085447
149,5650.08,0.48856,0.45465,0.96653,0.91576,0.90265,0.95348,0.85859,0.56096,0.50257,1.03214,0.0085348,0.0085348,0.0085348
150,5688.19,0.4786,0.43749,0.9604,0.91266,0.89948,0.95301,0.85967,0.5524,0.49411,1.03002,0.0085249,0.0085249,0.0085249
151,5726.67,0.47844,0.44512,0.96028,0.91422,0.89918,0.95329,0.85864,0.54469,0.49506,1.02292,0.008515,0.008515,0.008515
152,5765.3,0.48501,0.45373,0.968,0.91781,0.89562,0.95176,0.85903,0.55292,0.50655,1.0296,0.0085051,0.0085051,0.0085051
153,5803.47,0.48611,0.44781,0.96592,0.92707,0.89186,0.95226,0.85891,0.56567,0.49849,1.03579,0.0084952,0.0084952,0.0084952
154,5842.26,0.48717,0.45299,0.96708,0.92669,0.89208,0.95444,0.86206,0.56263,0.50222,1.03528,0.0084853,0.0084853,0.0084853
155,5880.24,0.48691,0.45056,0.96746,0.90386,0.90094,0.95118,0.85789,0.56351,0.5268,1.03228,0.0084754,0.0084754,0.0084754
156,5917.08,0.48917,0.4526,0.96637,0.90973,0.89473,0.95183,0.85338,0.55663,0.53433,1.02633,0.0084655,0.0084655,0.0084655
157,5954.92,0.47983,0.44592,0.96485,0.92197,0.89709,0.95485,0.85968,0.54919,0.49799,1.01906,0.0084556,0.0084556,0.0084556
158,5993.56,0.4855,0.44809,0.96663,0.91314,0.89616,0.95335,0.85873,0.5528,0.50583,1.02966,0.0084457,0.0084457,0.0084457
159,6031.22,0.48741,0.4551,0.96668,0.91095,0.90342,0.95395,0.86171,0.5564,0.5152,1.03427,0.0084358,0.0084358,0.0084358
160,6069.26,0.482,0.44567,0.96516,0.9108,0.90367,0.95426,0.86206,0.5543,0.53371,1.03486,0.0084259,0.0084259,0.0084259
161,6106.33,0.48227,0.44429,0.96544,0.92546,0.89572,0.95591,0.86316,0.55,0.50819,1.02838,0.008416,0.008416,0.008416
162,6146.11,0.48557,0.44968,0.96445,0.92579,0.89367,0.95747,0.86633,0.54123,0.47752,1.01867,0.0084061,0.0084061,0.0084061
163,6183.49,0.48029,0.44413,0.9654,0.9109,0.89613,0.95315,0.8634,0.55829,0.51909,1.02675,0.0083962,0.0083962,0.0083962
164,6221.28,0.48287,0.44359,0.9633,0.93025,0.88287,0.95425,0.86191,0.54961,0.50741,1.02253,0.0083863,0.0083863,0.0083863
165,6259.79,0.48521,0.43749,0.96153,0.92207,0.89457,0.95561,0.86352,0.5511,0.4952,1.01738,0.0083764,0.0083764,0.0083764
166,6298.48,0.48251,0.44563,0.96519,0.91819,0.89381,0.95457,0.86326,0.54893,0.50466,1.02143,0.0083665,0.0083665,0.0083665
167,6336.57,0.48149,0.44737,0.96057,0.90807,0.90139,0.95246,0.86093,0.5587,0.51298,1.03251,0.0083566,0.0083566,0.0083566
168,6374.5,0.47502,0.44084,0.95847,0.91982,0.89971,0.95307,0.86099,0.56248,0.53446,1.04693,0.0083467,0.0083467,0.0083467
169,6412.28,0.47968,0.4409,0.96064,0.91716,0.90275,0.95341,0.8635,0.55902,0.52968,1.03915,0.0083368,0.0083368,0.0083368
170,6450.73,0.47627,0.43429,0.96272,0.91665,0.89881,0.95497,0.8643,0.56497,0.51986,1.0428,0.0083269,0.0083269,0.0083269
